epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2125.57,2.35222,2.45215,1.32851,0.53955,0.2864,0.22926,0.11073,2.23455,2.01561,1.22798,0.000252066,0.000252066,0.000252066
75,2153.79,2.34222,2.42608,1.32641,0.5466,0.28663,0.23815,0.11524,2.20497,1.99854,1.22692,0.000243067,0.000243067,0.000243067
76,2182.63,2.37845,2.40461,1.3158,0.58303,0.31453,0.24468,0.09775,2.25153,2.05179,1.23721,0.000234068,0.000234068,0.000234068
77,2212.65,2.35265,2.45207,1.34012,0.63884,0.27383,0.27145,0.12813,2.26785,2.04753,1.24414,0.000225068,0.000225068,0.000225068
78,2240.65,2.36269,2.39757,1.32383,0.58431,0.30743,0.25885,0.11996,2.26577,2.01485,1.2372,0.000216069,0.000216069,0.000216069
79,2268.24,2.35561,2.41203,1.31293,0.5636,0.30014,0.26045,0.1171,2.30225,2.01924,1.24825,0.00020707,0.00020707,0.00020707
80,2296.12,2.34702,2.40823,1.31847,0.58794,0.29812,0.27551,0.13498,2.24426,1.98897,1.2385,0.000198071,0.000198071,0.000198071
81,2323.8,2.37709,2.41009,1.31643,0.57765,0.31136,0.29164,0.13179,2.2492,2.00727,1.23976,0.000189072,0.000189072,0.000189072
82,2352.3,2.33821,2.38783,1.33866,0.58783,0.34399,0.28863,0.15213,2.11804,1.94181,1.19707,0.000180073,0.000180073,0.000180073
83,2383.25,2.35747,2.3457,1.31538,0.57211,0.32247,0.27845,0.13213,2.17224,1.98304,1.21193,0.000171074,0.000171074,0.000171074
84,2413.11,2.33858,2.37668,1.32098,0.63421,0.25789,0.27115,0.11756,2.25873,1.98536,1.23668,0.000162075,0.000162075,0.000162075
85,2442.12,2.33878,2.36087,1.32185,0.60758,0.29728,0.2841,0.14119,2.24341,1.97458,1.22593,0.000153076,0.000153076,0.000153076
86,2470.63,2.35499,2.34703,1.31504,0.61366,0.28439,0.26195,0.10745,2.3126,2.00694,1.249,0.000144077,0.000144077,0.000144077
87,2499.04,2.34196,2.37718,1.31882,0.65428,0.29089,0.28805,0.13321,2.19725,1.96399,1.21813,0.000135077,0.000135077,0.000135077
88,2528.5,2.3592,2.35063,1.29897,0.60311,0.29962,0.27395,0.12409,2.26316,1.97977,1.23618,0.000126078,0.000126078,0.000126078
89,2557.34,2.35413,2.36253,1.31126,0.60117,0.30876,0.28394,0.12991,2.25888,2.00603,1.23798,0.000117079,0.000117079,0.000117079
90,2586.95,2.35223,2.36944,1.31923,0.67745,0.26266,0.28374,0.12775,2.25062,1.97753,1.23442,0.00010808,0.00010808,0.00010808
91,2615.83,2.2165,2.46618,1.28921,0.60185,0.28127,0.27689,0.13274,2.2329,1.97047,1.22752,9.9081e-05,9.9081e-05,9.9081e-05
92,2641.54,2.1972,2.32203,1.30794,0.55899,0.33285,0.28617,0.13481,2.24632,2.00559,1.22828,9.00819e-05,9.00819e-05,9.00819e-05
